KnessetNum,BillCount,LawCount,SuccessRate,FactionSize,BillsPerMember,LawsPerMember,FactionName
1,4,1,0.25,17,0.23529411764705882,0.058823529411764705,חזית דתית מאוחדת
1,8,1,0.125,22,0.36363636363636365,0.045454545454545456,מפלגת פועלים מאוחדת
1,4,1,0.25,53,0.07547169811320754,0.018867924528301886,מפלגת פועלי ארץ-ישראל
1,2,0,0.0,14,0.14285714285714285,0.0,תנועת החרות
1,1,0,0.0,7,0.14285714285714285,0.0,ציונים כלליים
1,3,0,0.0,5,0.6,0.0,מפלגה פרוגרסיבית
1,1,0,0.0,1,1.0,0.0,"ויצ""ו"
2,10,4,0.4,8,1.25,0.5,הפועל המזרחי
2,5,1,0.2,2,2.5,0.5,סיעה בלתי תלויה באחדות העבודה
2,20,4,0.2,10,2.0,0.4,תנועת החרות
2,7,2,0.2857142857142857,6,1.1666666666666667,0.3333333333333333,מפלגה פרוגרסיבית
2,20,4,0.2,16,1.25,0.25,מפלגת פועלים מאוחדת
2,7,1,0.14285714285714285,4,1.75,0.25,אחדות העבודה - פועלי ציון
2,9,3,0.3333333333333333,23,0.391304347826087,0.13043478260869565,ציונים כלליים
2,17,5,0.29411764705882354,52,0.3269230769230769,0.09615384615384616,מפלגת פועלי ארץ-ישראל
2,2,0,0.0,2,1.0,0.0,פועלי אגודת ישראל
2,9,0,0.0,7,1.2857142857142858,0.0,מפלגה קומוניסטית ישראלית
2,2,0,0.0,3,0.6666666666666666,0.0,מזרחי
2,6,0,0.0,4,1.5,0.0,אגודת ישראל
2,1,0,0.0,2,0.5,0.0,התאחדות התימנים בישראל
2,1,0,0.0,3,0.3333333333333333,0.0,סיעת השמאל
3,16,11,0.6875,11,1.4545454545454546,1.0,חזית דתית לאומית
3,16,11,0.6875,11,1.4545454545454546,1.0,מפלגה דתית לאומית
3,16,11,0.6875,11,1.4545454545454546,1.0,הפועל המזרחי - המזרחי
3,7,5,0.7142857142857143,6,1.1666666666666667,0.8333333333333334,חזית דתית תורתית
3,10,8,0.8,10,1.0,0.8,מפלגת פועלים מאוחדת
3,13,11,0.8461538461538461,14,0.9285714285714286,0.7857142857142857,ציונים כלליים
3,7,5,0.7142857142857143,7,1.0,0.7142857142857143,אגודת ישראל - פועלי אגודת ישראל
3,14,10,0.7142857142857143,15,0.9333333333333333,0.6666666666666666,תנועת החרות
3,10,8,0.8,13,0.7692307692307693,0.6153846153846154,אחדות העבודה - פועלי ציון
3,3,3,1.0,6,0.5,0.5,מפלגה פרוגרסיבית
3,12,10,0.8333333333333334,48,0.25,0.20833333333333334,מפלגת פועלי ארץ-ישראל
4,7,2,0.2857142857142857,4,1.75,0.5,אגודת ישראל
4,3,3,1.0,6,0.5,0.5,מפלגה פרוגרסיבית
4,9,6,0.6666666666666666,12,0.75,0.5,מפלגה דתית לאומית
4,20,3,0.15,8,2.5,0.375,ציונים כלליים
4,13,3,0.23076923076923078,8,1.625,0.375,אחדות העבודה - פועלי ציון
4,22,5,0.22727272727272727,14,1.5714285714285714,0.35714285714285715,מפלגה ליברלית ישראלית
4,1,1,1.0,3,0.3333333333333333,0.3333333333333333,פועלי אגודת ישראל
4,7,2,0.2857142857142857,6,1.1666666666666667,0.3333333333333333,חזית דתית תורתית
4,7,3,0.42857142857142855,10,0.7,0.3,מפלגת פועלים מאוחדת
4,11,5,0.45454545454545453,18,0.6111111111111112,0.2777777777777778,תנועת החרות
4,5,3,0.6,48,0.10416666666666667,0.0625,מפלגת פועלי ארץ-ישראל
4,2,0,0.0,4,0.5,0.0,מפלגה קומוניסטית ישראלית
5,5,4,0.8,2,2.5,2.0,פועלי אגודת ישראל
5,27,13,0.48148148148148145,10,2.7,1.3,אחדות העבודה - פועלי ציון
5,15,4,0.26666666666666666,4,3.75,1.0,אגודת ישראל
5,17,13,0.7647058823529411,14,1.2142857142857142,0.9285714285714286,מפלגה דתית לאומית
5,65,9,0.13846153846153847,10,6.5,0.9,מפלגת פועלים מאוחדת
5,36,16,0.4444444444444444,18,2.0,0.8888888888888888,תנועת החרות
5,8,7,0.875,8,1.0,0.875,רשימת פועלים ישראלית
5,62,17,0.27419354838709675,27,2.2962962962962963,0.6296296296296297,גוש חרות ליברלים
5,46,7,0.15217391304347827,18,2.5555555555555554,0.3888888888888889,מפלגה ליברלית ישראלית
5,17,15,0.8823529411764706,48,0.3541666666666667,0.3125,מפלגת פועלי ארץ-ישראל
5,13,1,0.07692307692307693,7,1.8571428571428572,0.14285714285714285,ליברלים עצמאיים
5,30,0,0.0,6,5.0,0.0,מפלגה קומוניסטית ישראלית
5,6,0,0.0,2,3.0,0.0,רשימה קומוניסטית חדשה
6,16,1,0.0625,1,16.0,1.0,העולם הזה - כוח חדש
6,19,6,0.3157894736842105,8,2.375,0.75,מפלגת פועלים מאוחדת
6,15,9,0.6,12,1.25,0.75,מפלגה דתית לאומית
6,6,4,0.6666666666666666,7,0.8571428571428571,0.5714285714285714,ליברלים עצמאיים
6,55,14,0.2545454545454545,27,2.037037037037037,0.5185185185185185,גוש חרות ליברלים
6,7,1,0.14285714285714285,4,1.75,0.25,אגודת ישראל
6,5,3,0.6,12,0.4166666666666667,0.25,רשימת פועלים ישראלית
6,8,1,0.125,4,2.0,0.25,המרכז החופשי
6,16,11,0.6875,56,0.2857142857142857,0.19642857142857142,מפלגת העבודה הישראלית
6,30,12,0.4,64,0.46875,0.1875,מערך
6,12,9,0.75,48,0.25,0.1875,מערך
6,15,0,0.0,1,15.0,0.0,מפלגה קומוניסטית ישראלית
6,15,0,0.0,3,5.0,0.0,רשימה קומוניסטית חדשה
7,8,4,0.5,5,1.6,0.8,ליברלים עצמאיים
7,66,15,0.22727272727272727,28,2.357142857142857,0.5357142857142857,גוש חרות ליברלים
7,18,3,0.16666666666666666,6,3.0,0.5,אגודת ישראל
7,15,1,0.06666666666666667,2,7.5,0.5,מרכז חופשי
7,62,26,0.41935483870967744,59,1.0508474576271187,0.4406779661016949,מערך
7,27,5,0.18518518518518517,16,1.6875,0.3125,מפלגה דתית לאומית
7,2,0,0.0,2,1.0,0.0,פועלי אגודת ישראל
7,13,0,0.0,2,6.5,0.0,מפלגה קומוניסטית ישראלית
7,13,0,0.0,5,2.6,0.0,הרשימה הממלכתית
7,3,0,0.0,1,3.0,0.0,מוקד
